"followers","track_id","artist_popularity","artist_id","album_id","duration_ms","album_name","name","duration_sec","track_name","track_popularity","label","release_date","album_popularity","genre"
"722","1G40or8eGQ3PO16A5tuS70","2","5BEd0FTdSuSQhEBOOcWvf4","3Qj3nEvzVvt1n8mVI0wIdK","170066","Eminente (En Vivo)","Eminente","170.066","Soy De La Perla - En Vivo","7","Inselmus","2017-03-24 00:00:00 UTC","6",""
"55607","5ysYuaEN9RFihY9EhiRtbc","26","6RaKdMfhnMdLFXvsWSZaa0","46C3cY7EGQP73j354lRPZD","280659","Red Velvet","Waje","280.659","Cam Dan","1","WME","2018-12-07 00:00:00 UTC","9","afrobeats"
"26584415","2a8yAYjOkHHg8mUxf8E2u1","85","1Cs0zKBU1kc0i8ypK3B9ai","1V9ygnXH8SYHz00OIRDC1Z","257116","Sun Goes Down (Feat. Magic! & Sonny Wilson)","David Guetta","257.116","Sun Goes Down (Feat. Magic! & Sonny Wilson) - Eva Shaw Remix","23","Parlophone (France)","2015-08-07 00:00:00 UTC","29","big room"
"178","1WFwHUkD5Zx883ceMnSfiR","6","7E03HXnm4pbRfW6O1tVFIL","3QuA0SpMS8ynIxx4RP701p","193810","Money On My Mind - Tribute To Sam Smith","Chart Stormers","193.81","Money On My Mind","0","Chart Stormers","2014-02-20 00:00:00 UTC","0",""
"4727","2o7nL7ah5OPKWa1Pd74IEE","29","7j9j1Yz60GzLa03koaaCNh","4GMu7TeLoYilRsJPsc7sB9","542333","India â€“ Music For Inner Balance","Margot Reisinger","542.333","Shakti'S Dream","18","Costa Verde Production","2007-08-07 00:00:00 UTC","22",""
"1438638","6L5c6wFGDQswebVAS3BmUw","63","7crPfGd2k81ekOoSqQKWWz","7q0dYnAjmqZBJLhMBre8aL","234826","Crystal Visions...The Very Best Of Stevie Nicks","Stevie Nicks","234.826","Leather And Lace","51","Reprise","2007-03-27 00:00:00 UTC","62","heartland rock"
"13530","5r8TawnIqxZ5dTPY6lEYXE","43","3trsSEaKM3UM2R9RBJwdtJ","7fyklcTMPrBRGkOivUwwCW","130433","Charles Brown Sings Christmas Songs","Charles Brown","130.433","Bringing In A Brand New Year","14","King Records","1976-01-01 00:00:00 UTC","41","jazz blues"
"2316620","15IYZvVsARiqt82opiwCqa","0","0LyfQWJT6nXafLPZqxe9Of","6T1s0s6zbt62UDbfVZKzlB","138076","Action Hero","Various Artists","138.076","Night Hero","0","KPM Main Series","2016-12-23 00:00:00 UTC","2",""
"95859165","6RfWi0Jx3GvflsOtUfFpuT","100","06HL4z0CvFAxyc27GXpf02","1BdjHo5IR6twMhJDxzlpLt","368440","Taylor Swift Karaoke: Speak Now","Taylor Swift","368.44","Last Kiss - Instrumental With Background Vocals","9","Big Machine Records, LLC","2010-10-25 00:00:00 UTC","21","pop"
"55","4ZDBmzWRdKOifWCYynHV7L","0","5HZ3xf6lrWnqpTTJzGTyRc","4Te1RG2QnDI6LFZZD93Vv8","19400","Cheap Lyrical Brandy (Red)","Jacob Rothschild","19.4","Nipsy'S Wisdom","0","Starcross Records","2021-10-30 00:00:00 UTC","0",""
